incoterm,tipo_produto,peso_kg,valor_usd,volumes,prazo_desembaraco_dias
DDP,eletronicos,129.9,16864.24,15,13
DDP,moveis,439.3,25604.35,2,15
EXW,texteis,1167.1,36320.11,36,44
DAP,maquinas,1106.1,35561.31,52,46
EXW,texteis,3492.2,20744.91,10,47
EXW,eletronicos,1902.7,21859.27,23,37
DAP,alimentos,4036.6,43919.04,35,46
EXW,moveis,1469.4,37904.07,57,52
CIF,moveis,965.5,4638.53,43,23
EXW,texteis,4333.1,23117.51,30,60
DDP,alimentos,817.5,21638.61,43,19
DDP,eletronicos,3047.6,10682.75,47,33
FOB,texteis,2314.0,16561.9,60,42
DDP,alimentos,4215.0,46671.99,15,27
EXW,alimentos,2008.8,4438.22,59,42
CIF,texteis,3278.9,24040.1,59,41
DDP,maquinas,718.6,8808.0,48,23
DAP,maquinas,4489.6,24264.33,15,49
FOB,moveis,2470.1,45469.04,56,48
DDP,maquinas,2984.1,23393.66,39,37
CFR,moveis,1260.8,33416.94,1,20
DAP,alimentos,3844.2,20740.44,19,33
CFR,texteis,2271.3,57252.05,57,44
FOB,moveis,4563.6,52295.85,20,44
DDP,moveis,3046.8,9593.94,49,33
DAP,eletronicos,2996.7,29572.04,8,36
CIF,alimentos,1201.1,14831.86,37,21
CFR,eletronicos,4890.0,32196.02,9,35
FOB,auto,2379.0,33213.31,17,29
FOB,moveis,3777.5,41547.12,46,49
CIF,maquinas,4975.8,39167.74,29,51
FOB,texteis,324.8,1751.54,36,22
FOB,moveis,1105.0,4724.09,41,28
EXW,alimentos,358.9,14661.28,43,27
CFR,texteis,2698.5,43539.48,57,43
CFR,maquinas,956.1,6267.38,28,23
CIF,maquinas,2058.5,51898.29,4,29
EXW,eletronicos,2016.1,20688.51,56,39
EXW,texteis,962.0,32409.0,9,30
FOB,eletronicos,2218.4,51750.27,36,39
EXW,eletronicos,3262.5,32664.98,1,43
FOB,texteis,2035.0,29140.83,56,43
CFR,eletronicos,827.4,628.25,25,17
CFR,alimentos,2117.9,57460.4,51,38
DAP,auto,3593.4,9710.41,19,35
DDP,moveis,309.5,19159.49,4,13
DAP,maquinas,2516.7,51236.83,11,45
FOB,eletronicos,2977.2,40675.15,16,35
CFR,eletronicos,4708.3,34395.69,38,39
CFR,auto,2920.4,31605.57,60,38
CIF,texteis,3350.3,19193.94,17,30
CIF,maquinas,1584.3,45235.94,5,30
EXW,maquinas,3107.7,33998.12,7,50
CIF,texteis,4666.6,52911.42,57,54
FOB,alimentos,1428.5,26571.98,35,26
DDP,moveis,44.1,49117.7,20,17
DDP,eletronicos,4695.0,8490.32,8,29
FOB,alimentos,1412.4,13032.46,22,19
FOB,auto,3173.0,16207.04,32,36
EXW,eletronicos,3173.3,49846.21,3,47
EXW,alimentos,3856.7,38408.25,17,45
DDP,maquinas,2806.7,7156.5,57,38
DDP,texteis,2730.2,50158.4,38,34
EXW,alimentos,1826.4,56018.74,56,46
EXW,alimentos,1054.3,15347.02,7,20
CFR,moveis,3748.6,55582.95,16,41
FOB,texteis,4407.7,1974.79,48,52
CFR,auto,4321.0,48739.58,18,38
FOB,auto,544.9,52393.92,55,35
CFR,alimentos,1529.4,47823.06,15,24
FOB,eletronicos,3301.9,24208.73,18,37
CIF,alimentos,3209.2,24280.86,54,28
DAP,alimentos,4696.5,7362.83,17,37
CIF,eletronicos,546.5,26356.54,47,28
CIF,maquinas,3033.0,30929.67,25,38
EXW,auto,2183.1,31435.26,52,47
DAP,auto,3598.6,44646.03,43,49
DDP,alimentos,3117.7,39971.55,8,25
DDP,alimentos,2538.1,40180.13,21,22
FOB,texteis,2105.1,56451.64,44,48
DDP,texteis,3079.5,18406.52,36,33
FOB,maquinas,3929.9,36596.36,21,48
CFR,maquinas,2213.6,13215.23,31,34
DDP,texteis,3296.0,17385.29,43,29
DDP,moveis,1679.3,49196.2,49,32
FOB,texteis,127.0,15068.13,31,25
DAP,eletronicos,2279.8,53225.15,37,41
CFR,maquinas,1223.7,39535.45,1,28
EXW,maquinas,1098.1,48344.54,45,52
FOB,eletronicos,2285.0,48184.29,43,39
DAP,moveis,2979.3,57027.36,58,50
DAP,maquinas,4153.7,33098.38,58,64
FOB,auto,4308.2,27279.15,49,48
DAP,maquinas,3135.6,16838.55,5,40
DDP,alimentos,1176.3,20482.93,58,22
FOB,maquinas,3471.3,42531.94,5,43
CFR,maquinas,1657.8,28222.5,4,26
DAP,auto,102.6,52899.07,37,33
CFR,maquinas,34.5,21429.65,49,24
CFR,moveis,3738.8,32994.87,39,43
FOB,maquinas,1101.0,26432.24,2,23
CFR,auto,829.4,28309.71,9,21
DAP,moveis,139.7,23944.21,37,26
CFR,texteis,4334.9,11312.88,17,36
CFR,alimentos,1062.2,19947.33,49,25
CFR,alimentos,4175.4,28483.26,48,36
DAP,eletronicos,4999.5,21322.64,42,53
EXW,eletronicos,4748.3,12361.96,2,44
DAP,texteis,1196.5,28676.88,8,26
DDP,alimentos,3835.7,10483.45,39,27
DDP,auto,577.1,49248.42,20,21
CIF,moveis,3388.3,57511.28,26,39
DDP,texteis,384.6,41591.56,41,26
CIF,auto,3004.1,7702.78,37,33
EXW,alimentos,2666.1,39860.52,5,33
CFR,maquinas,532.2,57666.86,41,36
CFR,auto,769.2,10980.15,34,23
DAP,maquinas,2327.0,49631.21,38,50
CIF,alimentos,4259.3,49928.5,6,31
CFR,moveis,3053.6,23049.86,2,29
CFR,alimentos,913.3,13121.13,52,23
DAP,auto,4401.1,33569.57,34,49
FOB,eletronicos,1210.6,24682.47,36,28
DDP,auto,2456.7,47679.51,6,22
CIF,texteis,2025.0,14976.66,43,29
DAP,alimentos,2130.4,44883.16,22,30
CIF,auto,2271.5,18744.07,15,25
EXW,auto,2681.6,45850.28,12,44
FOB,texteis,3694.3,16951.73,38,48
CIF,eletronicos,4164.0,18126.66,24,32
FOB,alimentos,75.7,32281.04,18,19
CIF,auto,4720.7,38453.24,49,44
CFR,eletronicos,4364.2,34656.82,31,37
EXW,alimentos,4705.6,28924.89,53,56
EXW,maquinas,2461.3,34832.76,44,59
DAP,alimentos,430.5,15267.36,36,22
CFR,moveis,2982.7,37295.89,50,38
CFR,alimentos,4301.5,59406.86,20,36
DAP,moveis,305.9,57626.47,7,27
FOB,alimentos,3303.8,9844.9,12,27
DAP,eletronicos,786.9,24806.8,45,28
FOB,alimentos,3536.2,42327.76,30,37
EXW,auto,1171.0,16241.0,51,36
FOB,maquinas,578.3,13876.16,10,19
CIF,texteis,361.7,10372.41,20,14
CIF,maquinas,626.1,41476.34,45,30
CFR,alimentos,2504.9,29880.82,6,19
DDP,alimentos,3020.5,2038.96,15,17
DDP,moveis,2937.7,1734.35,49,28
EXW,texteis,2355.2,39264.81,59,58
CIF,texteis,4984.7,26435.16,53,49
