ncm,descricao,aliquota_ii
8528.72.00,Televisor com tela de cristal líquido (LCD) com ou sem receptor de sinal,20.0
8528.72.10,Televisor LED colorido com tela maior que 20 polegadas,20.0
8528.72.20,Televisor OLED com tecnologia de diodos orgânicos,20.0
9405.40.10,Lampada LED de uso geral,18.0
9405.40.20,Lampada fluorescente compacta,18.0
8536.69.00,Cabos e conectores eletricos para tensao menor que 1000V,16.0
8544.42.00,Cabos eletricos com conectores para telecomunicacoes,16.0
8544.49.00,Cabos eletricos sem conectores para telecomunicacoes,16.0
8482.10.10,Rolamentos de esferas com diametro externo ate 100mm,14.0
8482.10.90,Rolamentos de esferas com diametro externo maior que 100mm,14.0
8482.20.10,Rolamentos de roletes cilindricos,14.0
8517.13.00,Telefone celular (smartphone) com capacidade de processamento,16.0
8517.12.00,Telefone celular basico,16.0
8471.30.00,Computador portatil (notebook) com peso ate 10kg,16.0
8471.50.10,Unidade de processamento (CPU) para computador,16.0
8471.70.00,Unidade de armazenamento de dados (disco rigido),16.0
8471.41.00,Computador de mesa com unidade de processamento e entrada e saida,16.0
0901.21.00,Cafe torrado em graos,10.0
0901.22.00,Cafe torrado em po,10.0
0901.11.00,Cafe nao torrado em graos,10.0
8457.10.00,Centro de usinagem para metais,14.0
8458.11.00,Torno de usinagem com comando numerico computadorizado (CNC),14.0
8460.11.00,Maquina de retificacao com comando numerico,14.0
6109.10.00,Camiseta de algodao de malha,35.0
6109.90.00,Camiseta de outras materias texteis,35.0
6204.62.00,Calca comprida de algodao para uso feminino,35.0
6203.42.00,Calca comprida de algodao para uso masculino,35.0
1509.10.00,Azeite de oliva virgem extra,8.0
1509.90.00,Azeite de oliva refinado e misturas,8.0
8471.60.00,Unidades de entrada e saida de dados (monitor, teclado),16.0
8471.80.00,Unidades de controle e adaptadores para maquinas de processamento,16.0
8415.10.00,Ar-condicionado tipo janela ou split ate 30.000 BTU,18.0
8516.50.00,Forno de micro-ondas,18.0
8508.11.00,Aspirador de po com motor eletrico,18.0
8509.40.10,Processador de alimentos com motor eletrico,18.0
8516.79.00,Chaleira eletrica e outros aquecedores domesticos,18.0
8509.80.90,Outros aparelhos eletromecanicos domesticos com motor,18.0
4011.10.00,Pneus novos de borracha para automoveis de passageiros,16.0
4011.20.00,Pneus novos de borracha para onibus e caminhoes,16.0
8708.99.90,Partes e acessorios de veiculos automoveis,18.0
3926.90.90,Artefatos de plastico para uso industrial,16.0
7308.90.10,Estruturas de ferro ou aco para construcao,14.0
4407.10.00,Madeira serrada de coniferas,10.0
4412.10.00,Compensado de madeira com folhas exteriores de madeira,10.0
4412.31.00,Compensado com folha exterior de madeira tropical,10.0
4410.11.00,Chapas de aglomerado de madeira (particulas),10.0
7208.10.00,Chapas e tiras de ferro ou aco laminados a quente,12.0
7210.20.00,Chapas de aco galvanizadas,12.0
8205.59.00,Ferramentas manuais de outros materiais,14.0
8207.70.00,Fresas de metal duro para usinagem,14.0
8466.10.00,Suportes e porta-ferramentas para maquinas de usinagem,14.0
8504.40.00,Conversores estaticos (fontes de alimentacao e carregadores),18.0
8504.50.00,Indutores e bobinas de reatancia,18.0
8537.10.00,Quadros e paineis de comando eletrico ate 1.000V,18.0
9028.30.10,Contadores de liquidos (medidores),14.0
9403.20.00,Mobiliario de metal para escritorio,18.0
9403.60.00,Mobiliario de madeira para outros usos,18.0
7013.99.00,Artigos de vidro para mesa e cozinha,18.0
8211.91.00,Facas de mesa com lâmina fixa,18.0
