Found 112 known vulnerabilities in 17 packages
Name                     Version  ID                  Fix Versions
------------------------ -------- ------------------- -------------
gptcache                 0.1.44   PYSEC-2026-3468
json-repair              0.25.3   GHSA-xf7x-x43h-rpqh 0.60.1
langchain                0.2.7    PYSEC-2024-323      0.2.9
langchain                0.2.7    PYSEC-2026-2192     1.3.9
langchain                0.2.7    PYSEC-2026-2555     0.3.30
langchain                0.2.7    CVE-2024-8309       0.2.19
langchain                0.2.7    CVE-2024-7774
langchain-community      0.2.7    PYSEC-2026-1515     0.3.27
langchain-community      0.2.7    PYSEC-2026-1516     0.2.9
langchain-community      0.2.7    CVE-2024-8309       0.2.19
langchain-core           0.2.43   PYSEC-2026-373      0.3.81,1.2.5
langchain-core           0.2.43   PYSEC-2026-1518     0.3.80,1.0.7
langchain-core           0.2.43   PYSEC-2026-2193     1.2.22
langchain-core           0.2.43   PYSEC-2026-2562     1.2.11
langchain-core           0.2.43   PYSEC-2026-2564     0.3.85,1.3.3
langchain-core           0.2.43   PYSEC-2026-2563     0.3.84,1.2.28
langchain-openai         0.1.12   PYSEC-2026-76       1.1.14
langchain-openai         0.1.12   PYSEC-2026-76       1.1.14
langchain-text-splitters 0.2.4    PYSEC-2026-77       1.1.2
langchain-text-splitters 0.2.4    PYSEC-2026-77       1.1.2
langchain-text-splitters 0.2.4    PYSEC-2026-1520     0.3.9
langsmith                0.1.147  PYSEC-2026-2582     0.8.0
langsmith                0.1.147  PYSEC-2026-2583     0.7.31
langsmith                0.1.147  GHSA-f4xh-w4cj-qxq8 0.8.18
mem0ai                   0.1.116  PYSEC-2026-2634
mem0ai                   0.1.116  PYSEC-2026-2635
mem0ai                   0.1.116  PYSEC-2026-2633
mem0ai                   0.1.116  PYSEC-2026-2636     2.0.0b2
pdfminer-six             20231228 PYSEC-2026-1762     20251107
pdfminer-six             20231228 PYSEC-2026-1761     20251230
pillow                   10.4.0   PYSEC-2026-165      12.2.0
pillow                   10.4.0   PYSEC-2026-165      12.2.0
pillow                   10.4.0   PYSEC-2026-2250     12.2.0
pillow                   10.4.0   PYSEC-2026-2253     12.3.0
pillow                   10.4.0   PYSEC-2026-2255     12.3.0
pillow                   10.4.0   PYSEC-2026-2257     12.3.0
pillow                   10.4.0   PYSEC-2026-2256     12.3.0
pillow                   10.4.0   PYSEC-2026-2254     12.3.0
pillow                   10.4.0   PYSEC-2026-2252     12.2.0
pillow                   10.4.0   PYSEC-2026-2249     12.1.1
pillow                   10.4.0   PYSEC-2026-2874     12.2.0
pillow                   10.4.0   PYSEC-2026-3453     12.3.0
pillow                   10.4.0   PYSEC-2026-3451     12.3.0
pillow                   10.4.0   PYSEC-2026-2254     12.3.0
pillow                   10.4.0   PYSEC-2026-2253     12.3.0
pillow                   10.4.0   PYSEC-2026-2256     12.3.0
pillow                   10.4.0   PYSEC-2026-2255     12.3.0
pillow                   10.4.0   PYSEC-2026-3451     12.3.0
pillow                   10.4.0   PYSEC-2026-3453     12.3.0
pillow                   10.4.0   PYSEC-2026-3454     12.3.0
pillow                   10.4.0   PYSEC-2026-3495     12.3.0
pillow                   10.4.0   PYSEC-2026-3496     12.3.0
pillow                   10.4.0   PYSEC-2026-3494     12.3.0
pillow                   10.4.0   PYSEC-2026-3493     12.3.0
pypdf                    4.3.1    PYSEC-2026-1829     6.6.0
pypdf                    4.3.1    PYSEC-2026-1833     6.1.3
pypdf                    4.3.1    PYSEC-2026-1832     6.4.0
pypdf                    4.3.1    PYSEC-2026-1830     6.0.0
pypdf                    4.3.1    PYSEC-2026-1831     6.1.3
pypdf                    4.3.1    PYSEC-2026-1827     6.6.2
pypdf                    4.3.1    PYSEC-2026-1828     6.6.0
pypdf                    4.3.1    PYSEC-2026-3023     6.9.1
pypdf                    4.3.1    PYSEC-2026-3022     6.13.0
pypdf                    4.3.1    PYSEC-2026-3017     6.7.4
pypdf                    4.3.1    PYSEC-2026-3019     6.8.0
pypdf                    4.3.1    PYSEC-2026-3020     6.12.2
pypdf                    4.3.1    PYSEC-2026-3018     6.13.1
pypdf                    4.3.1    PYSEC-2026-3021     6.10.1
pypdf                    4.3.1    PYSEC-2026-3011     6.10.2
pypdf                    4.3.1    PYSEC-2026-3007     6.10.2
pypdf                    4.3.1    PYSEC-2026-3004     6.12.0
pypdf                    4.3.1    PYSEC-2026-3005     6.7.2
pypdf                    4.3.1    PYSEC-2026-3006     6.10.0
pypdf                    4.3.1    PYSEC-2026-3014     6.7.5
pypdf                    4.3.1    PYSEC-2026-3024     6.7.1
pypdf                    4.3.1    PYSEC-2026-3026     6.10.2
pypdf                    4.3.1    PYSEC-2026-3016     6.12.0
pypdf                    4.3.1    PYSEC-2026-3010     6.12.2
pypdf                    4.3.1    PYSEC-2026-3015     6.7.1
pypdf                    4.3.1    PYSEC-2026-3025     6.12.1
pypdf                    4.3.1    PYSEC-2026-3013     6.7.1
pypdf                    4.3.1    PYSEC-2026-3009     6.13.0
pypdf                    4.3.1    PYSEC-2026-3012     6.9.2
pypdf                    4.3.1    PYSEC-2026-3027     6.7.3
pypdf                    4.3.1    PYSEC-2026-3613     6.14.2
pypdf                    4.3.1    PYSEC-2026-3610     6.14.0
pypdf                    4.3.1    PYSEC-2026-3612     6.14.1
pypdf                    4.3.1    PYSEC-2026-3611     6.14.0
pypdf                    4.3.1    PYSEC-2026-3655     6.15.0
pypdf                    4.3.1    PYSEC-2026-3656     6.15.0
pypdf                    4.3.1    GHSA-jm82-fx9c-mx94 6.13.3
pypdf2                   3.0.1    PYSEC-2026-1835     3.9.0
python-dotenv            1.0.1    PYSEC-2026-2270     1.2.2
python-multipart         0.0.9    PYSEC-2026-1852     0.0.22
python-multipart         0.0.9    PYSEC-2026-1851     0.0.18
python-multipart         0.0.9    PYSEC-2026-3038     0.0.26
python-multipart         0.0.9    PYSEC-2026-3037     0.0.30
python-multipart         0.0.9    PYSEC-2026-3036     0.0.30
python-multipart         0.0.9    PYSEC-2026-3040     0.0.31
python-multipart         0.0.9    PYSEC-2026-3039     0.0.27
starlette                0.37.2   PYSEC-2026-161      1.0.1
starlette                0.37.2   PYSEC-2026-161      1.0.1
starlette                0.37.2   PYSEC-2026-248      1.3.0
starlette                0.37.2   PYSEC-2026-249      1.3.1
starlette                0.37.2   PYSEC-2026-248      1.3.0
starlette                0.37.2   PYSEC-2026-1943     0.40.0
starlette                0.37.2   PYSEC-2026-1941     0.47.2
starlette                0.37.2   PYSEC-2026-2281     1.1.0
starlette                0.37.2   PYSEC-2026-2280     1.1.0
streamlit                1.36.0   PYSEC-2024-153      1.37.0
streamlit                1.36.0   PYSEC-2026-212      1.53.1
streamlit                1.36.0   PYSEC-2026-2285     1.54.0
